epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,1579.12,0.51749,0.19602,0.00907,0.99107,0.99485,0.99437,0.94286,0.38108,0.1261,0.00939,0.0002774,0.0002774,0.0002774
89,1594.53,0.55005,0.20828,0.00942,0.99387,0.99103,0.99446,0.94159,0.38829,0.12871,0.00928,0.0002576,0.0002576,0.0002576
90,1609.98,0.53746,0.19767,0.00929,0.9949,1,0.99433,0.94589,0.39087,0.11915,0.00947,0.0002378,0.0002378,0.0002378
91,1643.4,0.46787,0.15493,0.01155,0.99382,0.98655,0.99401,0.91784,0.45598,0.15928,0.01228,0.000218,0.000218,0.000218
92,1658.56,0.44302,0.14103,0.01075,0.99552,0.99551,0.99419,0.92827,0.42283,0.13001,0.01097,0.0001982,0.0001982,0.0001982
93,1673.73,0.45121,0.14413,0.01095,0.99417,0.99552,0.99406,0.9416,0.38879,0.12515,0.00968,0.0001784,0.0001784,0.0001784
94,1688.89,0.43767,0.14376,0.01063,0.99553,0.99917,0.99415,0.93696,0.38911,0.12101,0.00971,0.0001586,0.0001586,0.0001586
95,1704.06,0.41799,0.12822,0.00999,0.99517,1,0.99415,0.94948,0.38152,0.12036,0.00945,0.0001388,0.0001388,0.0001388
96,1719.34,0.415,0.13283,0.00957,0.99551,0.9948,0.99424,0.94738,0.37548,0.1207,0.00919,0.000119,0.000119,0.000119
97,1734.57,0.41609,0.12853,0.00955,0.99525,1,0.99424,0.94732,0.37963,0.11826,0.00942,9.92e-05,9.92e-05,9.92e-05
98,1750.36,0.40294,0.12705,0.00926,0.99098,1,0.99428,0.95053,0.36774,0.11689,0.00901,7.94e-05,7.94e-05,7.94e-05
99,1766.05,0.38728,0.12198,0.00904,0.99508,1,0.99415,0.94738,0.37087,0.11293,0.00907,5.96e-05,5.96e-05,5.96e-05
100,1781.38,0.40535,0.12846,0.00921,0.99553,0.99925,0.9942,0.94636,0.37426,0.11757,0.00915,3.98e-05,3.98e-05,3.98e-05
